NS1,NSX2A,NSX3A,NSX5A,NSX7A,NSX8A,NSX9A,NSX10A,NSX11A,NSX12A,NSX2B,NSX3B,NSX5B,NSX7B,NSX8B,NSX9B,NSX10B,NSX11B,NSX12B,NSX2C,NSX3C,NSX5C,NSX7C,NSX8C,NSX9C,NSX10C,NSX11C,NSX12C,NSX2D,NSX3D,NSX5D,NSX7D,NSX8D,NSX9D,NSX10D,NSX11D,NSX12D,NSX2E,NSX3E,NSX5E,NSX7E,NSX8E,NSX9E,NSX10E,NSX11E,NSX12E,NSX2F,NSX3F,NSX5F,NSX7F,NSX8F,NSX9F,NSX10F,NSX11F,NSX12F,NSX2G,NSX3G,NSX5G,NSX7G,NSX8G,NSX9G,NSX10G,NSX11G,NSX12G,NSX2H,NSX3H,NSX5H,NSX7H,NSX8H,NSX9H,NSX10H,NSX11H,NSX12H,NSX2I,NSX3I,NSX5I,NSX7I,NSX8I,NSX9I,NSX10I,NSX11I,NSX12I,NSX131_1,NSX131_2,NSX131_3,NSX131_4,NSX132_1,NSX132_2,NSX132_3,NSX132_4,NSX133_1,NSX133_2,NSX133_3,NSX133_4,NSX134_1,NSX134_2,NSX134_3,NSX134_4,NSD1,NDX2J,NDX4J,NDX5J,NDX5J_6_TEXT,NDX6J,NDX6J_8_TEXT,NDX8J,NDX9J,NDX12J,NDX2K,NDX4K,NDX5K,NDX6K,NDX6K_14_TEXT,NDX8K,NDX9K,NDX12K,NDX2L,NDX4L,NDX5L,NDX5L_10_TEXT,NDX6L,NDX6L_13_TEXT,NDX8L,NDX9L,NDX12L,NDX2M,NDX4M,NDX5M,NDX5M_10_TEXT,NDX6M,NDX6M_13_TEXT,NDX8M,NDX9M,NDX12M,NDX2N,NDX4N,NDX5N,NDX5N_10_TEXT,NDX6N,NDX6N_13_TEXT,NDX8N,NDX9N,NDX12N,NDX2O,NDX4O,NDX5O,NDX5O_11_TEXT,NDX6O,NDX6O_14_TEXT,NDX8O,NDX9O,NDX12O,NDX2P,NDX4P,NDX5P,NDX5P_10_TEXT,NDX6P,NDX6P_13_TEXT,NDX8P,NDX9P,NDX12P,NDX2Q,NDX4Q,NDX5Q,NDX5Q_10_TEXT,NDX6Q,NDX6Q_13_TEXT,NDX8Q,NDX9Q,NDX12Q,NDX2R,NDX4R,NDX5R,NDX5R_10_TEXT,NDX6R,NDX6R_13_TEXT,NDX8R,NDX9R,NDX12R,NDX151_1,NDX151_2,NDX151_3,NDX151_4,NDX152_1,NDX152_2,NDX152_3,NDX152_4,NDX153_1,NDX153_2,NDX153_3,NDX153_4,NDX154_1,NDX154_2,NDX154_3,NDX154_4
2,7.0,7.0,50.0,4.0,4.0,2.0,5.0,12.0,7.0,49.0,7.0,48.0,1.0,7.0,1.0,1.0,13.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,3,52.0,5.0,1.0,,1.0,,13.0,11.0,8.0,40.0,11.0,1.0,1.0,,11.0,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
2,7.0,7.0,30.0,5.0,1.0,1.0,1.0,1.0,8.0,51.0,7.0,29.0,7.0,1.0,1.0,1.0,1.0,6.0,5.0,9.0,38.0,6.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,2.0,2.0,2.0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7.0,9.0,27.0,4.0,1.0,1.0,1.0,12.0,5.0,49.0,9.0,27.0,4.0,1.0,2.0,1.0,1.0,7.0,7.0,9.0,45.0,4.0,5.0,2.0,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,,2.0,2.0,3.0,,,,,,,,,,3,41.0,1.0,5.0,,8.0,Ex romantic partner,15.0,16.0,9.0,45.0,16.0,9.0,12.0,,14.0,19.0,1.0,45.0,15.0,9.0,,12.0,,14.0,19.0,1.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,,,,
4,6.0,8.0,53.0,4.0,1.0,1.0,1.0,1.0,7.0,51.0,1.0,39.0,1.0,1.0,1.0,1.0,1.0,8.0,7.0,7.0,25.0,4.0,1.0,1.0,1.0,1.0,5.0,7.0,9.0,30.0,4.0,5.0,2.0,13.0,14.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,,,,,3,,,,,,,,,12.0,,,,,,,,9.0,,,,,,,,,9.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,,,,
1,7.0,1.0,64.0,5.0,4.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,34.0,4.0,5.0,,8.0,aquaitence,14.0,16.0,8.0,23.0,11.0,9.0,12.0,,13.0,15.0,9.0,26.0,10.0,,,12.0,,15.0,15.0,9.0,26.0,11.0,1.0,,12.0,,15.0,15.0,9.0,42.0,10.0,9.0,,12.0,,15.0,15.0,8.0,,1.0,10.0,,13.0,,12.0,11.0,1.0,40.0,1.0,9.0,,12.0,,15.0,14.0,1.0,20.0,10.0,9.0,,,,13.0,15.0,8.0,55.0,10.0,1.0,,12.0,,14.0,14.0,15.0,2.0,,,,2.0,,,,2.0,,,,2.0,,,
6,7.0,7.0,41.0,5.0,1.0,1.0,1.0,1.0,5.0,51.0,1.0,38.0,4.0,1.0,1.0,1.0,1.0,5.0,7.0,7.0,31.0,7.0,6.0,1.0,1.0,1.0,5.0,6.0,7.0,29.0,6.0,1.0,1.0,11.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,,,,,6,60.0,5.0,5.0,,7.0,,14.0,16.0,11.0,,,,,,,,8.0,45.0,11.0,1.0,,12.0,,13.0,14.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,2.0,,1.0,2.0,2.0,,,,,,,,,
4,7.0,8.0,73.0,7.0,6.0,1.0,1.0,1.0,7.0,50.0,9.0,57.0,1.0,5.0,2.0,14.0,15.0,7.0,5.0,8.0,69.0,5.0,6.0,2.0,12.0,13.0,7.0,5.0,9.0,50.0,4.0,1.0,2.0,13.0,13.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,,,,,1,,,,,,,,,10.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,
100,6.0,9.0,41.0,8.0,5.0,2.0,10.0,17.0,1.0,49.0,9.0,46.0,5.0,5.0,2.0,17.0,17.0,7.0,6.0,9.0,41.0,8.0,5.0,,17.0,17.0,1.0,5.0,9.0,23.0,4.0,5.0,2.0,17.0,17.0,7.0,5.0,9.0,53.0,1.0,5.0,1.0,17.0,17.0,,10.0,6.0,32.0,1.0,5.0,2.0,17.0,17.0,7.0,5.0,1.0,38.0,8.0,5.0,2.0,16.0,17.0,8.0,6.0,9.0,33.0,6.0,4.0,4.0,13.0,17.0,7.0,5.0,9.0,40.0,8.0,5.0,2.0,14.0,17.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,20,41.0,8.0,5.0,,1.0,,18.0,17.0,11.0,,,,,,,,10.0,,,,,,,,,9.0,,,,,,,,,12.0,,,,,,,,,10.0,,,,,,,,,10.0,,,,,,,,,10.0,,,,,,,,,10.0,,,,,,,,,17.0,,,,,,2.0,2.0,2.0,,2.0,2.0,2.0,,,,
5,4.0,9.0,40.0,7.0,5.0,2.0,10.0,17.0,7.0,51.0,9.0,65.0,5.0,5.0,2.0,17.0,,7.0,5.0,9.0,45.0,7.0,4.0,,16.0,16.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,2.0,2.0,2.0,,,,,,,,,,25,,,,,,,,,12.0,,,,,,,,11.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,
4,7.0,9.0,52.0,9.0,1.0,1.0,1.0,1.0,4.0,51.0,9.0,29.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,9.0,25.0,6.0,1.0,1.0,1.0,1.0,6.0,7.0,9.0,32.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,9.0,42.0,1.0,1.0,1.0,1.0,1.0,6.0,11.0,6.0,24.0,4.0,1.0,1.0,1.0,1.0,6.0,7.0,10.0,22.0,1.0,5.0,1.0,1.0,1.0,6.0,7.0,9.0,21.0,1.0,5.0,1.0,1.0,1.0,6.0,7.0,7.0,20.0,5.0,4.0,1.0,1.0,1.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,10,34.0,9.0,5.0,,7.0,,15.0,17.0,8.0,33.0,16.0,9.0,12.0,,13.0,19.0,10.0,30.0,10.0,9.0,,12.0,,14.0,19.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,,2.0,2.0,3.0,,,,,,,,,
